Lon,Lat,Year,Month,Day,Mag,Depth,Hour,Minute,Second,eventID,pvalue,HFassoc,assocwells
-104.645,32.5792,2009,9,6,2.2,5.9,5,55,18,16945374,NaN,0,
-104.6443,32.5617,2009,9,6,2.1,3,9,24,30.3,NM_339,NaN,0,
-104.6765,32.48,2009,9,7,2.6,3,5,22,7.22,NM_340,NaN,0,
-104.647,32.579,2009,9,7,3.2,7.1,5,22,35,16945399,NaN,0,
-102.8123,31.8164,2009,9,11,2.2,12.4,13,38,39,16945468,NaN,0,
-103.3743,31.3812,2009,9,18,3.1,3,10,12,22,16945592,NaN,0,
-104.6412,32.5819,2009,9,23,1.5,5.6,1,11,37,302193391,NaN,0,
-104.6735,32.5555,2009,9,23,2.3,3,23,54,48.19,NM_342,NaN,0,
-104.6442,32.5808,2009,9,23,2.6,6.3,23,55,19,16945686,NaN,0,
-104.6783,32.5445,2009,9,23,4,3,23,58,56.76,NM_343,NaN,0,
-104.6434,32.5856,2009,9,24,1.7,5.3,8,1,9,16945689,NaN,0,
-104.6745,32.5398,2009,9,24,2.6,3,20,55,45.62,NM_344,NaN,0,
-104.6469,32.5839,2009,9,25,1.7,5.5,13,31,16,16945714,NaN,0,
-104.6456,32.5837,2009,9,29,2,5.9,19,43,30,16945784,NaN,0,
-104.642,32.5839,2009,9,29,1.5,6.3,22,47,34,16945789,NaN,0,
-104.6443,32.5831,2009,10,8,2.1,5.7,20,41,10,16965145,NaN,0,
-104.6667,32.542,2009,10,9,1.9,3,6,42,1.93,NM_349,NaN,0,
-100.9009,32.9299,2009,10,11,2,5,4,10,54.35,None,NaN,0,
-104.0233,30.551,2009,10,14,1.9,11,4,35,14,16965415,NaN,0,
-104.6792,32.5383,2009,10,14,3.1,3,16,31,45.34,NM_350,NaN,0,
-104.634,32.5847,2009,10,15,1.5,6,9,5,25,302192789,NaN,0,
-100.8775,32.9093,2009,10,16,3.5,5,23,50,15.24,None,NaN,0,
-104.6583,32.5612,2009,10,18,2.6,3,2,45,33.52,NM_351,NaN,0,
-104.7154,31.2284,2009,10,23,2.3,1.8,6,12,53,16965857,NaN,0,
-104.6428,32.5819,2009,10,24,1.6,5.4,14,58,57,302192752,NaN,0,
-102.929,32.3413,2009,10,25,2.2,3,14,5,24.08,NM_352,NaN,0,
