max_cc cc_shift dlnA mstalta length start end center mode
 0.973802 -6.0  0.724793  0.023251   475   531  2905  1718 0
 0.839616 -5.0  0.630991  0.009504   766   531  4361  2446 0
 0.508270 -7.0  0.304289  0.009504  1053   531  5794  3162 0
 0.304933 -38.0  2.228856  0.023251   270   531  1882  1206 0
 0.414851 -3264.0  0.164393  0.009504  1257   531  6816  3673 0
 0.334673  0.0  2.227415  0.023251   281   531  1938  1234 0
 0.373480 -3264.0  0.160253  0.009504  1340   531  7233  3882 0
 0.304786 -38.0  2.227418  0.023251   271   531  1884  1207 0
 0.876057 -6.0  0.797186  0.009504   569   531  3377  1954 0
 0.839113 -5.0  0.632216  0.009504   794   531  4503  2517 0
 0.441363  0.0  1.765606  0.023251   304   531  2051  1291 0
 0.857652 -5.0  0.690562  0.009504   702   531  4041  2286 0
 0.883007 -6.0  0.784530  0.013506   547   531  3267  1899 0
 0.868474 -5.0  0.804221  0.009504   592   531  3489  2010 0
 0.426113 -3264.0  0.153747  0.009504  1214   531  6603  3567 0
 0.446548 -3264.0  0.121773  0.009504  1148   531  6271  3401 0
 0.656146 -5.0  1.278647  0.023251   338   531  2221  1376 0
 0.722961 -6.0  0.998066  0.023251   360   531  2330  1430 0
 0.875349 -9.0  0.710748  0.023251   382   531  2443  1487 0
 0.933492 -8.0  0.516206  0.023251   404   531  2552  1541 0
 0.920822 -6.0  0.754736  0.023251   504   531  3051  1791 0
 0.463539 -3264.0  0.107929  0.009504  1126   531  6160  3345 0
 0.831526 -4.0  0.624543  0.009504   867   531  4867  2699 0
 0.831549 -4.0  0.626200  0.009504   890   531  4979  2755 0
 0.723008 -6.0  0.997986  0.023251   359   533  2330  1431 0
 0.839616 -5.0  0.630991  0.009504   766   533  4361  2447 0
 0.789411 -4.0  0.598024  0.009504  1002   533  5541  3037 0
 0.817800 -4.0  0.627271  0.009504   956   533  5313  2923 0
 0.885996 -6.0  0.781605  0.023251   534   533  3204  1868 0
 0.373481 -3264.0  0.160253  0.009504  1340   533  7233  3883 0
