EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2017syer,final,2017-09-27,09:16:23,2.7,,31.1726,1.0,-103.2706,1.2,6.1,6.9,2.1,0.4,26,17,TXNet,earthquake,Western Texas,172,87,-1,262,89,-177,Moment Tensor,73.90811845,0.8217585834,206.903480387625,2017-11-01 19:29:02
texnet2017sbdw,final,2017-09-14,18:44:21,2.4,,32.8629,0.8,-100.9038,0.7,5.8,6.6,0.7,0.1,19,11,TXNet,earthquake,Western Texas,181,85,-141,87,51,-6,first motion,,,120.934106922825,2017-10-12 21:44:49
texnet2017sazy,final,2017-09-14,16:45:40,3.0,,32.8757,0.5,-96.9209,0.6,5.4,5.5,0.9,0.3,48,34,TXNet,earthquake,Central Texas,359,70,176,90,87,20,first motion,,,360.953081201475,2017-10-12 21:44:38
texnet2017rufo,final,2017-09-10,23:38:20,1.1,,32.8647,0.9,-100.9531,0.6,4.0,4.7,1.2,0.2,22,12,TXNet,earthquake,Western Texas,273,81,35,177,55,169,first motion,,,125.48111899365,2017-10-12 21:43:15
texnet2017rnlc,final,2017-09-07,06:29:01,2.0,,32.8738,0.8,-100.9017,0.7,5.4,6.1,0.6,0.2,24,14,TXNet,earthquake,Western Texas,91,66,-4,183,86,-156,first motion,,,175.86975849313498,2017-10-12 21:41:51
texnet2017rlya,final,2017-09-06,10:45:21,1.5,,32.8729,1.0,-100.9006,0.6,5.9,6.6,0.7,0.1,19,10,TXNet,earthquake,Western Texas,354,89,156,84,66,1,first motion,,,120.886059340935,2017-10-12 21:40:27
texnet2017rlvj,final,2017-09-06,09:25:07,2.0,,32.8683,0.8,-100.9017,0.7,5.5,6.2,0.7,0.1,17,11,TXNet,earthquake,Western Texas,180,85,-144,86,54,-6,first motion,,,120.87097796308498,2017-10-12 21:40:06
texnet2017rlsu,final,2017-09-06,08:05:36,2.8,,32.8693,0.8,-100.9006,0.6,6.1,6.8,0.7,0.2,22,13,TXNet,earthquake,Western Texas,90,64,0,0,90,154,first motion,,,212.596819171065,2017-10-12 21:39:56
texnet2017rgcy,final,2017-09-03,06:24:36,2.7,,31.1729,1.3,-103.3297,1.1,8.1,9.0,2.1,0.4,27,20,TXNet,earthquake,Western Texas,112,89,90,292,1,90,first motion,,,207.39281755846497,2020-05-28 21:43:46
texnet2017qivn,final,2017-08-21,12:32:40,2.6,,32.8903,0.8,-100.8995,0.7,6.0,6.8,0.9,0.1,19,11,TXNet,earthquake,Western Texas,0,90,180,90,90,0,first motion,,,110.6496767359935,2017-10-12 21:34:01
texnet2017qhqo,final,2017-08-20,20:54:30,2.7,,31.1396,1.3,-103.2313,0.9,6.2,7.0,2.5,0.3,18,13,TXNet,earthquake,Western Texas,288,57,166,26,78,34,first motion,,,169.446181907205,2019-08-14 14:38:11
